IAR SYSTEMS GR -B-,43825.ST,Stockholm,Sweden
Acando AB,ACAN-B.ST,Stockholm,Sweden
ÅF GRUPPEN -A-,AFGO.ST,Stockholm,Sweden
Active Biotech,ACTI.ST,Stockholm,Sweden
AddNode AB,ANOD-B.ST,Stockholm,Sweden
AddTech AB,ADDT-B.ST,Stockholm,Sweden
Anoto Group AB,ANOT.ST,Stockholm,Sweden
Aspiro AB,ASP.ST,Stockholm,Sweden
Assa Abloy AB,ASSA-B.ST,Stockholm,Sweden
Atlas Copco AB,ATCO-A.ST,Stockholm,Sweden
Atlas Copco AB,ATCO-B.ST,Stockholm,Sweden
Avanza Bank Holding,AZA.ST,Stockholm,Sweden
Betsson AB,BETS-B.ST,Stockholm,Sweden
Billerud AB,BILL.ST,Stockholm,Sweden
BioInvent International AB,BINV.ST,Stockholm,Sweden
BioGaia AB,BIOG-B.ST,Stockholm,Sweden
Bilia, BILI-A.ST,Stockholm,Sweden
Biotage AB,BIOT.ST,Stockholm,Sweden
BYGGMAX GROUP,BMAX.ST,Stockholm,Sweden
Castellum AB,CAST.ST,Stockholm,Sweden
Concordia Maritime AB,CCOR-B.ST,Stockholm,Sweden
Clas Ohlson AB,CLAS-B.ST,Stockholm,Sweden
Cybercom Group AB,CYBE.ST,Stockholm,Sweden
Diös Fastigheter AB,DIOS.ST,Stockholm,Sweden
Duroc AB,DURC-B.ST,Stockholm,Sweden
Elekta AB,EKTA-B.ST,Stockholm,Sweden
Electrolux AB,ELUX-B.ST,Stockholm,Sweden
Enea AB,ENEA.ST,Stockholm,Sweden
Eniro AB,ENRO.ST,Stockholm,Sweden
Fabege AB,FABG.ST,Stockholm,Sweden
Feelgood Svenska AB,FEEL.ST,Stockholm,Sweden
Fingerprint Cards AB,FING-B.ST,Stockholm,Sweden
Getinge AB,GETI-B.ST,Stockholm,Sweden
Gunnebo AB,GUNN.ST,Stockholm,Sweden
Hexagon AB,HEXA-B.ST,Stockholm,Sweden
Haldex Group AB,HLDX.ST,Stockholm,Sweden
HIQ International AB,HIQ.ST,Stockholm,Sweden
Holmen AB,HOLM-B.ST,Stockholm,Sweden
Hexpol AB,HPOL-B.ST,Stockholm,Sweden
Husqvarna AB,HUSQ-A.ST,Stockholm,Sweden
Husqvarna AB,HUSQ-B.ST,Stockholm,Sweden
Intrum Justitia AB,IJ.ST,Stockholm,Sweden
Impact Coatings AB,IMPC.ST,Stockholm,Sweden
Indutrade AB,INDT.ST,Stockholm,Sweden
KINNEVIK INV. -B-,KINV-B.ST,Stockholm,Sweden
Klövern AB,KLOV.ST,Stockholm,Sweden
Kungsleden AB, KLED.ST, Stockholm, Sweden
Loomis AB,LOOM-B.ST,Stockholm,Sweden
Lundin Mining Corp,LUMI-SDB.ST,Stockholm,Sweden
Lundin Petroleum AB,LUPE.ST,Stockholm,Sweden
Medcore AB,MCOR.ST,Stockholm,Sweden
Midway Holding AB,MIDW-A.ST,Stockholm,Sweden
Midway Holding AB,MIDW-B.ST,Stockholm,Sweden
Medivir AB,MVIR-B.ST,Stockholm,Sweden
Mekonomen AB,MEKO.ST,Stockholm,Sweden
Nordea Bank AB,NDA-SEK.ST,Stockholm,Sweden
Net Insight AB,NETI-B.ST,Stockholm,Sweden
New Wave Group AB,NEWA-B.ST,Stockholm,Sweden
NIBE IND.-B-,NIBE-B.ST,Stockholm,Sweden
Nordnet AB,NN-B.ST,Stockholm,Sweden
Novestra AB,NOVE.ST,Stockholm,Sweden
Opus Group AB,OPUS.ST,Stockholm,Sweden
Oriflame Cosmetics SA,ORI-SDB.ST,Stockholm,Sweden
Orexo AB,ORX.ST,Stockholm,Sweden
Peab AB,PEAB-B.ST,Stockholm,Sweden
Phonera AB,PHON.ST,Stockholm,Sweden
Precise Biometrics AB,PREC.ST,Stockholm,Sweden
BlackPearl Resources, Inc.,PXXS-SDB.ST,Stockholm,Sweden
Ratos AB,RATO-B.ST,Stockholm,Sweden
RNB Retail And Brands AB,RNBS.ST,Stockholm,Sweden
Rörvik Timber AB,RTIM-B.ST,Stockholm,Sweden
Saab AB,SAAB-B.ST,Stockholm,Sweden
Sandvik AB,SAND.ST,Stockholm,Sweden
Svenska Cellulosa AB,SCA-A.ST,Stockholm,Sweden
Svenska Cellulosa AB,SCA-B.ST,Stockholm,Sweden
Scania AB,SCV-B.ST,Stockholm,Sweden
Skandinaviska Enskilda Banken AB,SEB-A.ST,Stockholm,Sweden
Skandinaviska Enskilda Banken AB,SEB-C.ST,Stockholm,Sweden
Securitas AB,SECU-B.ST,Stockholm,Sweden
Sectra AB,SECT-B.ST,Stockholm,Sweden
Svenska Handelsbanken,SHB-B.ST,Stockholm,Sweden
Skanska AB,SKA-B.ST,Stockholm,Sweden
Softronic AB,SOF-B.ST,Stockholm,Sweden
SSAB Corp,SSAB-B.ST,Stockholm,Sweden
Swedbank AB,SWED-A.ST,Stockholm,Sweden
Swedish Match AB,SWMA.ST,Stockholm,Sweden
Systemair AB,SYSR.ST,Stockholm,Sweden
Tele2 AB,TEL2-B.ST,Stockholm,Sweden
Telenor ASA,TELO.ST,Stockholm,Sweden
TETHYS OIL,TETY.ST,Stockholm,Sweden
Tieto Corp,TIEN.ST,Stockholm,Sweden
TeliaSonera AB,TLSN.ST,Stockholm,Sweden
Trelleborg AB,TREL-B.ST,Stockholm,Sweden
Vitrolife AB,VITR.ST,Stockholm,Sweden
Volvo Corporation,VOLV-B.ST,Stockholm,Sweden
